Checked,Status,Unpublished,ID,Label,Alternate Title,Corporate Name,Personal Name,Personal Name Verbose,Place of Publication or Production,Publisher,Date of Publication or Production,Summary,Notes,Topic,Type,Format,Language,Extent,Dimensions,Rights Statement,Library Call Number,Link,Identifier
TRUE,,,CSL00034,"Chicano Studies Library Newsletter (Volume 5, Number 1, February 1991)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1991,An issue of the Chicano Studies Library newsletter from February 1991.,,"University of California, Berkeley. Chicano Studies Library|Library administration|Library outreach",Newsletters,text|serial,English,5 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,See also CSL00065 (earlier draft),,CSL00035,Chicano Database Indexing Manual,Chicano Periodical Index Processing Manual,"University of California, Berkeley. Chicano Studies Library","Chabrán, Richard|García-Ayvens, Francisco|Castillo-Speed, Lillian","Chabrán, Richard|García-Ayvens, Francisco, 1948-2018|Castillo-Speed, Lillian","Berkeley, California",,2003,"A processing manual for the Chicano Periodical Index, compiled by Richard Chabrán and Francisco García-Ayvens, and subsequently revised by Lillian Castillo-Speed, including several handwritten annotations.",,Chicano Database|Chicano Periodical Index|Chicano Serials Collection|Technologies,Manuals|Internal documents,text,English,9 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00036,Chicano Database Worksheet - Books,,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",,2003?,A blank template for creating entries for books in the Chicano Database,,Chicano Database|Knowledge organization|Technologies,Blank forms|Internal documents,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00037,EBSCO Publicity Flier for Chicano Database,,EBSCO Industries,,,"Birmingham, Alabama",EBSCO,2015,"An advertisement for the Chicano Database via EBSCO, including description of features and how to order. The database was first licensed by EBSCO in 2012.",,Chicano Database|Technologies,Advertisements|Fliers,text,English,1 page,8.5 x 11 inches,,,,
TRUE,,,CSL00038,Chicano Thesaurus Revision Project Sponsored by LAUC,List of LGBTIQ Terms Added to the Chicano Thesaurus,University of California (System). Librarians Association,,,"Berkeley, California",,2007,"List of terms relating to Lesbian, Gay, Bisexual, Intersex and Queer people, which were added to the Chicano Thesaurus as part of a revision project sponsored by the Librarians Association of the University of California (LUAC)",,Chicano Thesaurus|LGBTQI people|Knowledge organization,Controlled vocabularies,text,English,3 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00039,LAUC Research Project to Revise the Chicano Thesaurus,List of Non Chicano People of Latino Heritage,University of California (System). Librarians Association,,,"Berkeley, California",,2007,"List of demographic terms for non-Chicano people of Latino heritage, which were added to the Chicano Thesaurus as part of a revision project sponsored by the Librarians Association of the University of California (LUAC)",,Chicano Thesaurus|Latin Americans|Knowledge organization,Controlled vocabularies,text,English,6 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00040,Chicano Database: Manufacturing Disc,"Chicano Database, July 2020",,,,"Gilroy, California",Knowledge Access Publishing,2000,"A CD-ROM disc for the Chicano Database, from July 2000",,Chicano Database|Technologies,CD-ROMs,CD-ROM,English,1 disc,5 x 5 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00041,Chicano Studies Library Publications ,,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",Chicano Studies Library Publications Unit,1991,"Catalogue of publications available from the Chicano Studies Library Publications Unit, with an order form.",,"University of California, Berkeley. Chicano Studies Library. Publications Unit",Publishers' catalogs,text,English,4 pages,17 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00042,Chicano Anthology Index Flier,,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",Chicano Studies Library Publications Unit,1991,"Advertisement and order form for the Chicano Anthology Index, edited by Francisco García-Ayvens.",,"Chicano Anthology Index|University of California, Berkeley. Chicano Studies Library. Publications Unit",Advertisements|Fliers,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00043,"Chicano Studies, UC Berkeley, 1982-83",,"University of California, Berkeley. Chicano Studies Program
","Oropeza, Annette|Soto, Carolyn|García-Ayvens, Francisco","Oropeza, Annette|Soto, Carolyn|García-Ayvens, Francisco, 1948-2018","Berkeley, California",Chicano Studies Library Publications Unit,1982,"Bulletin for the Chicano Studies Program, 1982-1983. The bulletin includes course descriptions, major requirements, and department faculty and staff, and resources including the Chicano Studies Library. It was compiled by Annette Oropeza and produced by Francisco Garcia and Carolyn Soto and the Chicano Studies Library Publications Unit.",,"University of California, Berkeley. Chicano Studies Program|Chicano students|University of California, Berkeley. Chicano Studies Library||University of California, Berkeley. Chicano Studies Library. Publications Unit
",Course catalogs,text,English,20 pages,8.5 x 5.5 inches,"Ethnic Studies Library, UC Berkeley",LC3681.C128 C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991051708699706532,
TRUE,,,CSL00044,Chicano Studies Bulletin - Spring '71,,"University of California, Berkeley. Chicano Studies Program
",,,"Berkeley, California",,1971,"Course bulletin for the Chicano Studies Program for Spring 1971, including course descriptions, schedule of office hours, enrollment instructions, and available resources including the Chicano Studies Library.",,"University of California, Berkeley. Chicano Studies Program|Chicano students|University of California, Berkeley. Chicano Studies Library",Course catalogs,text,English,12 pages,8.5 x 5.5 inches,,LC3681.C128 C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991051708699706532,
TRUE,,,CSL00045,Faculty Assessment of Chicano Library Collection,,"University of California, Berkeley. Chicano Studies Program|University of California, Berkeley. Department of Ethnic Studies","Trujillo, Larry","Trujillo, Larry","Berkeley, California",,1976,"Memorandum from Larry Trujillo, chair of the Library and Research Committee, to the Chicano Studies Faculty, November 18, 1976, regarding faculty assessment of the Chicano Studies Library collection and the creation of a collection development policy",,"University of California, Berkeley. Chicano Studies Library|University of California, Berkeley. Chicano Studies Program|Library administration",Letters|Internal documents,text,English,3 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00046,The Strike Explained,,Third World Liberation Front,"Delgado, Manuel","Delgado, Manuel","Berkeley, California",,1969,Explanation of the Third World Liberation Front strike and demands for the Third World College at U.C. Berkeley.,Second printing,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Strikes and protests",Manifestos,text,English,16 pages,,,,,
TRUE,,,CSL00047,No Progress Report - Updates on University's progress with TWLF,,Third World Liberation Front,"Delgado, Manuel","Delgado, Manuel","Berkeley, California",,1969,"A journalism report by Manuel Delgado, February 10, 1969, regarding the University's lack of progress with TWLF negotiations.",,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Strikes and protests",Reports,text,English,2 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00048,TWLF protest photographs,,Third World Liberation Front,,,"Berkeley, California",,1969,"A photograph of protesters and onlookers gathered around Sather Gate on the U.C. Berkeley campus, and a photograph of protesters, police, and onlookers in front of a campus building, during the TWLF protests of 1969.",,"Third World Liberation Front|University of California, Berkeley|Strikes and protests",Photographs,image,,2 photographs,,,,,
TRUE,,,CSL00049,TWLF protest photographs,,Third World Liberation Front,,,"Berkeley, California",,1969,"A photograph of a discarded issue of the Daily Californian, with headline ""Ethnic Studies College Planned,"" a photograph of police gathered in front of onlookers on the U.C. Berkeley campus with the Campanile in the background, and a photograph of protesters walking down a street, possibly in front of the ASUC Student Union building on Bancroft Way.",,"Third World Liberation Front|University of California, Berkeley|Strikes and protests",Photographs,image,,3 photographs,,,,,
TRUE,,,CSL00050,Chicano Database on CD-ROM Advertisement,,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",Chicano Studies Library Publications Unit,1991,"Advertisement brochure for the Chicano Database on CD-ROM, including a description of the database contents, usage instructions, and an order form.",,"Chicano Database|University of California, Berkeley. Chicano Studies Library. Publications Unit|Technologies",Advertisements|Brochures,text,English,5 pages,,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00051,"Letter from Virginia Pratt to Francisco Garcia-Ayvens, June 5, 1984",,"University of California, Berkeley. School of Library and Information Studies
","Pratt, Virginia|García-Ayvens, Francisco|Chabrán, Richard","Pratt, Virginia|García-Ayvens, Francisco, 1948-2018|Chabrán, Richard","Berkeley, California",,1984,"Letter from Virginia Pratt to Francisco Garcia-Ayvens, June 5, 1984, and copied to Richard Chabrán, acknowledging receipt of a gift copy for the UC Berkeley Library School of Biblio-Política, edited by Francisco García-Ayvens and Richard Chabrán. The letter includes a handwritten note from Virginia to Richard.",,Biblio-Política|Library outreach|Recognition,Letters|Internal documents,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00052,Strike Demands,,Third World Liberation Front,,,"Berkeley, California",,1969,"A list of strike demands from the Third World Liberation Front at U.C. Berkeley, January 1969. ",,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Strikes and protests",,text,English,1 page,8.5 x 11 inches,,,,
